"skola","predmet","obor","kraj","typ","konali","neuspeli","volba","prumer","odchylka"
"Soukromá střední škola pedagogiky a sociálních služeb. s.r.o.","Ruský jazyk","SOŠ pedagogické a humanitní","Vysočina","Didaktický test",11,1,"36.8","22.7","6.2"
"Střední odborná škola veterinární. mechanizační a zahradnická a Jazyková škola s právem státní jazykové zkoušky. České Budějovice. Rudolfovská 92","Německý jazyk","SOŠ zemědělské","Jihočeský","Didaktický test",7,0,"5.1","33.7","4.3"
"Soukromá střední škola. s.r.o.","Ruský jazyk","SOU ostatní (nástavby)","Zlínský","Didaktický test",3,0,"28.6","20.8","2.2"
"Hotelová škola Vincenze Priessnitze. Jeseník. Dukelská 680","Ruský jazyk","SOŠ hotelové a podnikatelské","Olomoucký","Didaktický test",8,0,"14.8","21.9","4.3"
"Střední odborná škola a Střední odborné učiliště. Písek. Komenského 86","Anglický jazyk","SOU ostatní (nástavby)","Jihočeský","Didaktický test",20,8,"63.8","26.5","17.7"
"Střední odborná škola a Střední odborné učiliště. Písek. Komenského 86","Anglický jazyk","SOU technické (nástavby)","Jihočeský","Didaktický test",20,8,"63.8","26.5","17.7"
"Střední odborná škola a Střední odborné učiliště. Písek. Komenského 86","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihočeský","Didaktický test",20,8,"63.8","26.5","17.7"
"Střední škola stavební. Teplice. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Ústecký","Didaktický test",4,1,75,"15.2","10.2"
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Německý jazyk","SOŠ ekonomické","Středočeský","Didaktický test",6,1,"7.9","38.5","16.4"
"Soukromé střední odborné učiliště kadeřnické Praha 2. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Praha","Ústní zkouška",14,6,"91.3","31.5","28.5"
"Střední škola zemědělská a zahradnická. Olomouc. U Hradiska 4","Anglický jazyk","SOU ostatní (nástavby)","Olomoucký","Ústní zkouška",30,6,"63.8","25.1","25.8"
"Střední škola zemědělská a zahradnická. Olomouc. U Hradiska 4","Anglický jazyk","SOŠ zemědělské","Olomoucký","Ústní zkouška",30,6,"63.8","25.1","25.8"
"TRIVIS - Střední škola veřejnoprávní Třebechovice pod Orebem. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Královéhradecký","Didaktický test",36,7,"97.4","22.8","12.4"
"TRIVIS - Střední škola veřejnoprávní Třebechovice pod Orebem. s.r.o.","Anglický jazyk","SOŠ pedagogické a humanitní","Královéhradecký","Didaktický test",36,7,"97.4","22.8","12.4"
"Střední odborná škola Znojmo. Dvořákova. příspěvková organizace","Německý jazyk","SOU ostatní (nástavby)","Jihomoravský","Didaktický test",6,1,"24.2","31.8","7.1"
"Střední odborné učiliště.Hluboš 178","Anglický jazyk","SOU ostatní (nástavby)","Středočeský","Didaktický test",8,0,"29.6","18.9","6.9"
"Česká zahradnická akademie Mělník - střední škola a vyšší odborná škola. příspěvková organizace","Český jazyk a literatura","SOŠ zemědělské","Středočeský","Didaktický test",22,9,,"37.3","16.1"
"Střední odborná škola technická a zahradnická. Lovosice. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Ústecký","Didaktický test",15,6,,"29.6","12.8"
"Střední uměleckoprůmyslová škola a Vyšší odborná škola. Turnov. Skálova 373.               příspěvková organizace","Český jazyk a literatura","SOŠ umělecké","Liberecký","Didaktický test",10,4,,"36.9","15.2"
"Střední odborná škola technická a zahradnická. Lovosice. příspěvková organizace","Český jazyk a literatura","SOU technické","Ústecký","Didaktický test",15,6,,"29.6","12.8"
"Integrovaná střední škola Stanislava Kubra. Středokluky. Školská 105","Český jazyk a literatura","SOU ostatní (nástavby)","Středočeský","Didaktický test",30,11,,"34.4","14.5"
"Integrovaná střední škola Stanislava Kubra. Středokluky. Školská 105","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Středočeský","Didaktický test",30,11,,"34.4","14.5"
"Integrovaná střední škola Stanislava Kubra. Středokluky. Školská 105","Český jazyk a literatura","SOŠ pedagogické a humanitní","Středočeský","Didaktický test",30,11,,"34.4","14.5"
"Soukromá střední odborná škola Břeclav. s.r.o.","Matematika","SOU ostatní (nástavby)","Jihomoravský","Didaktický test",11,4,"42.9","29.4","22.9"
"Soukromá střední odborná škola Břeclav. s.r.o.","Matematika","SOU ostatní","Jihomoravský","Didaktický test",11,4,"42.9","29.4","22.9"
"Střední škola řemesel a služeb. Děčín IV. Ruská 147. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Ústecký","Didaktický test",36,13,,"35.6","12.6"
"Střední škola řemesel a služeb. Děčín IV. Ruská 147. příspěvková organizace","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Ústecký","Didaktický test",36,13,,"35.6","12.6"
"Střední škola řemesel a služeb. Děčín IV. Ruská 147. příspěvková organizace","Český jazyk a literatura","SOU ostatní","Ústecký","Didaktický test",36,13,,"35.6","12.6"
"Střední škola služeb s.r.o.","Český jazyk a literatura","SOU ostatní (nástavby)","Zlínský","Didaktický test",17,6,,"33.8",15
"Střední škola služeb s.r.o.","Český jazyk a literatura","SOU ostatní","Zlínský","Didaktický test",17,6,,"33.8",15
"Střední odborná škola civilního letectví. Praha - Ruzyně","Matematika","SOU technické","Praha","Didaktický test",17,6,"17.3",42,"19.6"
"Střední škola gastronomie. hotelnictví a lesnictví Bzenec. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Jihomoravský","Didaktický test",40,14,,"38.5","14.9"
"Střední škola gastronomie. hotelnictví a lesnictví Bzenec. příspěvková organizace","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Jihomoravský","Didaktický test",40,14,,"38.5","14.9"
"Střední škola gastronomie. hotelnictví a lesnictví Bzenec. příspěvková organizace","Český jazyk a literatura","SOŠ zemědělské","Jihomoravský","Didaktický test",40,14,,"38.5","14.9"
"Střední škola gastronomie. hotelnictví a lesnictví Bzenec. příspěvková organizace","Český jazyk a literatura","SOU ostatní","Jihomoravský","Didaktický test",40,14,,"38.5","14.9"
"Střední škola letecké a výpočetní techniky. Odolena Voda. U Letiště 370","Matematika","SOU technické","Středočeský","Didaktický test",3,1,"13.5","42.4",31
"Střední škola zdravotnická a sociální Chrudim","Český jazyk a literatura","SOŠ pedagogické a humanitní","Pardubický","Didaktický test",56,18,,"35.4","13.9"
"Střední škola zdravotnická a sociální Chrudim","Český jazyk a literatura","SOŠ zdravotnické","Pardubický","Didaktický test",56,18,,"35.4","13.9"
"Vyšší odborná škola oděvního návrhářství a Střední průmyslová škola oděvní. Praha 7. Jablonského 3","Český jazyk a literatura","SOŠ technické 2","Praha","Didaktický test",53,17,,"37.5","16.7"
"Vyšší odborná škola oděvního návrhářství a Střední průmyslová škola oděvní. Praha 7. Jablonského 3","Český jazyk a literatura","SOŠ umělecké","Praha","Didaktický test",53,17,,"37.5","16.7"
"Střední odborná škola logistických služeb. Praha 9. Učňovská 1/100","Český jazyk a literatura","SOŠ technické 2","Praha","Didaktický test",44,14,,"34.6","12.1"
"Soukromé střední odborné učiliště kadeřnické Praha 2. s.r.o.","Český jazyk a literatura","SOU ostatní (nástavby)","Praha","Didaktický test",17,5,,"38.3","15.1"
"Střední průmyslová škola Otrokovice","Český jazyk a literatura","SOU technické (nástavby)","Zlínský","Didaktický test",51,15,,"42.2","16.8"
"Střední průmyslová škola Otrokovice","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Zlínský","Didaktický test",51,15,,"42.2","16.8"
"Střední průmyslová škola Otrokovice","Český jazyk a literatura","SOŠ technické 1","Zlínský","Didaktický test",51,15,,"42.2","16.8"
"Střední škola technická. gastronomická a automobilní. Chomutov. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Ústecký","Didaktický test",69,20,,"34.6","11.8"
"Střední škola technická. gastronomická a automobilní. Chomutov. příspěvková organizace","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Ústecký","Didaktický test",69,20,,"34.6","11.8"
"Střední škola technická. gastronomická a automobilní. Chomutov. příspěvková organizace","Český jazyk a literatura","SOŠ zemědělské","Ústecký","Didaktický test",69,20,,"34.6","11.8"
"Střední škola technická. gastronomická a automobilní. Chomutov. příspěvková organizace","Český jazyk a literatura","SOU technické","Ústecký","Didaktický test",69,20,,"34.6","11.8"
"Gymnázium Milady Horákové","Matematika","Gymnázium 4 leté","Praha","Didaktický test",7,2,"31.8","46.2","21.6"
"Střední škola obchodu. řemesel. služeb a Základní škola. Ústí nad Labem. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Ústecký","Didaktický test",32,9,,"36.9","12.6"
"Střední škola obchodu. řemesel. služeb a Základní škola. Ústí nad Labem. příspěvková organizace","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Ústecký","Didaktický test",32,9,,"36.9","12.6"
"Střední škola obchodu. řemesel. služeb a Základní škola. Ústí nad Labem. příspěvková organizace","Český jazyk a literatura","SOU ostatní","Ústecký","Didaktický test",32,9,,"36.9","12.6"
"Soukromá podřipská střední odborná škola a střední odborné učiliště o.p.s.","Český jazyk a literatura","SOU ostatní (nástavby)","Ústecký","Didaktický test",50,14,,35,"11.9"
"Soukromá podřipská střední odborná škola a střední odborné učiliště o.p.s.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Ústecký","Didaktický test",50,14,,35,"11.9"
"Střední škola služeb. obchodu a gastronomie. Hradec Králové. Velká 3","Český jazyk a literatura","SOU ostatní (nástavby)","Královéhradecký","Didaktický test",105,29,,"35.7","14.5"
"Střední škola služeb. obchodu a gastronomie. Hradec Králové. Velká 3","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Královéhradecký","Didaktický test",105,29,,"35.7","14.5"
"Střední škola služeb. obchodu a gastronomie. Hradec Králové. Velká 3","Český jazyk a literatura","SOU ostatní","Královéhradecký","Didaktický test",105,29,,"35.7","14.5"
"Třinecká obchodní akademie. spol. s r.o.","Český jazyk a literatura","SOŠ ekonomické","Moravskoslezský","Didaktický test",29,8,,39,"16.2"
"Třinecká obchodní akademie. spol. s r.o.","Český jazyk a literatura","SOŠ technické 1","Moravskoslezský","Didaktický test",29,8,,39,"16.2"
"Střední škola gastronomie a služeb. Přerov. Šířava 7","Český jazyk a literatura","SOU ostatní (nástavby)","Olomoucký","Didaktický test",40,11,,"32.8","10.3"
"Střední škola gastronomie a služeb. Přerov. Šířava 7","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Olomoucký","Didaktický test",40,11,,"32.8","10.3"
"Střední zdravotnická škola. Beroun","Český jazyk a literatura","SOŠ pedagogické a humanitní","Středočeský","Didaktický test",40,11,,"36.1",13
"Střední zdravotnická škola. Beroun","Český jazyk a literatura","SOŠ zdravotnické","Středočeský","Didaktický test",40,11,,"36.1",13
"Střední škola gastronomie a služeb. Přerov. Šířava 7","Český jazyk a literatura","SOU ostatní","Olomoucký","Didaktický test",40,11,,"32.8","10.3"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Český jazyk a literatura","Lyceum","Ústecký","Didaktický test",49,13,,34,"12.7"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Český jazyk a literatura","SOŠ ekonomické","Ústecký","Didaktický test",49,13,,34,"12.7"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Český jazyk a literatura","SOŠ pedagogické a humanitní","Ústecký","Didaktický test",49,13,,34,"12.7"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Ústecký","Didaktický test",49,13,,34,"12.7"
"Střední odborná škola energetická a stavební. Obchodní akademie a Střední zdravotnická škola. Chomutov. příspěvková organizace","Český jazyk a literatura","SOU technické (nástavby)","Ústecký","Didaktický test",129,34,,"34.1","12.6"
"Střední odborná škola energetická a stavební. Obchodní akademie a Střední zdravotnická škola. Chomutov. příspěvková organizace","Český jazyk a literatura","SOŠ ekonomické","Ústecký","Didaktický test",129,34,,"34.1","12.6"
"Střední odborná škola energetická a stavební. Obchodní akademie a Střední zdravotnická škola. Chomutov. příspěvková organizace","Český jazyk a literatura","SOŠ pedagogické a humanitní","Ústecký","Didaktický test",129,34,,"34.1","12.6"
"Střední odborná škola energetická a stavební. Obchodní akademie a Střední zdravotnická škola. Chomutov. příspěvková organizace","Český jazyk a literatura","SOŠ technické 2","Ústecký","Didaktický test",129,34,,"34.1","12.6"
"Střední odborná škola energetická a stavební. Obchodní akademie a Střední zdravotnická škola. Chomutov. příspěvková organizace","Český jazyk a literatura","SOŠ zdravotnické","Ústecký","Didaktický test",129,34,,"34.1","12.6"
"Střední odborná škola energetická a stavební. Obchodní akademie a Střední zdravotnická škola. Chomutov. příspěvková organizace","Český jazyk a literatura","SOU technické","Ústecký","Didaktický test",129,34,,"34.1","12.6"
"Střední odborné učiliště. Domažlice. Prokopa Velikého 640","Český jazyk a literatura","SOU ostatní (nástavby)","Plzeňský","Didaktický test",50,13,,"36.9","13.5"
"Střední odborné učiliště. Domažlice. Prokopa Velikého 640","Český jazyk a literatura","SOU ostatní","Plzeňský","Didaktický test",50,13,,"36.9","13.5"
"Střední odborné učiliště. Domažlice. Prokopa Velikého 640","Český jazyk a literatura","SOU technické","Plzeňský","Didaktický test",50,13,,"36.9","13.5"
"Střední rybářská škola a Vyšší odborná škola vodního hospodářství a ekologie. Vodňany.                Zátiší 480","Český jazyk a literatura","SOŠ zemědělské","Jihočeský","Didaktický test",28,7,,"38.1","14.3"
"Střední odborná škola pro administrativu Evropské unie. Praha 9. Lipí 1911","Matematika","SOŠ pedagogické a humanitní","Praha","Didaktický test",4,1,"2.4",44,"14.4"
"Vyšší odborná škola a Střední průmyslová škola. Šumperk. Gen. Krátkého 1","Matematika","Lyceum","Olomoucký","Didaktický test",57,14,"35.8","43.1","18.4"
"Vyšší odborná škola a Střední průmyslová škola. Šumperk. Gen. Krátkého 1","Matematika","SOŠ technické 1","Olomoucký","Didaktický test",57,14,"35.8","43.1","18.4"
"Střední škola technická a obchodní. Dačice. Strojírenská 304","Český jazyk a literatura","SOU ostatní (nástavby)","Jihočeský","Didaktický test",49,12,,"35.6","10.6"
"Střední škola obchodu. gastronomie a designu PRAKTIK s.r.o.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Olomoucký","Didaktický test",49,12,,"40.6","15.7"
"Střední škola technická a obchodní. Dačice. Strojírenská 304","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Jihočeský","Didaktický test",49,12,,"35.6","10.6"
"Střední škola obchodu. gastronomie a designu PRAKTIK s.r.o.","Český jazyk a literatura","SOŠ umělecké","Olomoucký","Didaktický test",49,12,,"40.6","15.7"
"Střední škola obchodu. gastronomie a designu PRAKTIK s.r.o.","Český jazyk a literatura","SOU ostatní","Olomoucký","Didaktický test",49,12,,"40.6","15.7"
"Střední škola technická a obchodní. Dačice. Strojírenská 304","Český jazyk a literatura","SOU technické","Jihočeský","Didaktický test",49,12,,"35.6","10.6"
"Soukromá střední odborná škola (1. KŠPA). s.r.o.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Ústecký","Didaktický test",41,10,,"35.8",12
"Soukromá střední odborná škola (1. KŠPA). s.r.o.","Český jazyk a literatura","SOŠ pedagogické a humanitní","Ústecký","Didaktický test",41,10,,"35.8",12
"Soukromá střední odborná škola (1. KŠPA). s.r.o.","Český jazyk a literatura","SOŠ technické 1","Ústecký","Didaktický test",41,10,,"35.8",12
"Střední odborná škola a Střední odborné učiliště Hustopeče. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Jihomoravský","Didaktický test",29,7,,"35.1","11.7"
"Střední odborná škola a Střední odborné učiliště Hustopeče. příspěvková organizace","Český jazyk a literatura","SOŠ pedagogické a humanitní","Jihomoravský","Didaktický test",29,7,,"35.1","11.7"
"Střední škola sociálních a zdravotnických služeb Vesna. o.p.s.","Český jazyk a literatura","SOŠ pedagogické a humanitní","Jihomoravský","Didaktický test",29,7,,"38.4",13
"Střední odborná škola a Střední odborné učiliště Hustopeče. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Jihomoravský","Didaktický test",29,7,,"35.1","11.7"
"Obchodní akademie ELDO. o.p.s.","Český jazyk a literatura","Lyceum","Jihomoravský","Didaktický test",25,6,,"38.4","12.9"
"Obchodní akademie ELDO. o.p.s.","Český jazyk a literatura","SOŠ ekonomické","Jihomoravský","Didaktický test",25,6,,"38.4","12.9"
"Střední průmyslová škola a Střední odborné učiliště Uničov","Český jazyk a literatura","SOŠ ekonomické","Olomoucký","Didaktický test",50,12,,"40.2","13.6"
"Střední průmyslová škola a Střední odborné učiliště Uničov","Český jazyk a literatura","SOŠ technické 1","Olomoucký","Didaktický test",50,12,,"40.2","13.6"
"Střední průmyslová škola a Střední odborné učiliště Uničov","Český jazyk a literatura","SOU technické","Olomoucký","Didaktický test",50,12,,"40.2","13.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Český jazyk a literatura","SOU ostatní (nástavby)","Jihočeský","Didaktický test",93,22,,"33.4","11.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Český jazyk a literatura","SOU technické (nástavby)","Jihočeský","Didaktický test",93,22,,"33.4","11.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Jihočeský","Didaktický test",93,22,,"33.4","11.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Český jazyk a literatura","SOŠ technické 1","Jihočeský","Didaktický test",93,22,,"33.4","11.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Český jazyk a literatura","SOU technické","Jihočeský","Didaktický test",93,22,,"33.4","11.6"
"Střední odborná škola a Střední odborné učiliště. Praha - Čakovice","Český jazyk a literatura","SOU ostatní (nástavby)","Praha","Didaktický test",56,13,,"34.9","11.7"
"Střední odborná škola a Střední odborné učiliště. Praha - Čakovice","Český jazyk a literatura","SOU ostatní","Praha","Didaktický test",56,13,,"34.9","11.7"
"Střední průmyslová škola Loket","Český jazyk a literatura","SOŠ technické 1","Karlovarský","Didaktický test",39,9,,"37.7","12.8"
"Střední průmyslová škola dopravní. Plzeň. Karlovarská 99","Český jazyk a literatura","SOU ostatní (nástavby)","Plzeňský","Didaktický test",152,35,,"34.7","12.5"
"Střední průmyslová škola dopravní. Plzeň. Karlovarská 99","Český jazyk a literatura","SOŠ technické 1","Plzeňský","Didaktický test",152,35,,"34.7","12.5"
"Střední průmyslová škola dopravní. Plzeň. Karlovarská 99","Český jazyk a literatura","SOŠ technické 2","Plzeňský","Didaktický test",152,35,,"34.7","12.5"
"Střední průmyslová škola dopravní. Plzeň. Karlovarská 99","Český jazyk a literatura","SOŠ zemědělské","Plzeňský","Didaktický test",152,35,,"34.7","12.5"
"Střední průmyslová škola dopravní. Plzeň. Karlovarská 99","Český jazyk a literatura","SOU technické","Plzeňský","Didaktický test",152,35,,"34.7","12.5"
"Střední průmyslová škola stavební a Střední odborná škola stavební a technická. Ústí nad Labem. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Ústecký","Didaktický test",35,8,,"33.6","10.6"
"Střední průmyslová škola stavební a Střední odborná škola stavební a technická. Ústí nad Labem. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Ústecký","Didaktický test",35,8,,"33.6","10.6"
"Střední průmyslová škola stavební a Střední odborná škola stavební a technická. Ústí nad Labem. příspěvková organizace","Český jazyk a literatura","SOU technické","Ústecký","Didaktický test",35,8,,"33.6","10.6"
"Střední škola. Havířov-Šumbark. Sýkorova 1/613. příspěvková organizace","Český jazyk a literatura","SOU technické (nástavby)","Moravskoslezský","Didaktický test",36,8,,"37.7","11.8"
"Střední škola stavební Jihlava","Český jazyk a literatura","SOU technické (nástavby)","Vysočina","Didaktický test",45,10,,"39.1","14.4"
"Střední škola. Havířov-Šumbark. Sýkorova 1/613. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Moravskoslezský","Didaktický test",36,8,,"37.7","11.8"
"Střední škola stavební Jihlava","Český jazyk a literatura","SOŠ technické 1","Vysočina","Didaktický test",45,10,,"39.1","14.4"
"Střední škola. Havířov-Šumbark. Sýkorova 1/613. příspěvková organizace","Český jazyk a literatura","SOU technické","Moravskoslezský","Didaktický test",36,8,,"37.7","11.8"
"Obchodní akademie. Vyšší odborná škola ekonomická a Jazyková škola s právem státní jazykové zkoušky. Mladá Boleslav. T. G. Masaryka 14","Matematika","Lyceum","Středočeský","Didaktický test",9,2,"7.9","37.3",21
"Střední škola Strážnice. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Jihomoravský","Didaktický test",68,15,,"36.5",13
"Střední škola Strážnice. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Jihomoravský","Didaktický test",68,15,,"36.5",13
"Střední škola Strážnice. příspěvková organizace","Český jazyk a literatura","SOŠ technické 2","Jihomoravský","Didaktický test",68,15,,"36.5",13
"Střední škola Strážnice. příspěvková organizace","Český jazyk a literatura","SOŠ umělecké","Jihomoravský","Didaktický test",68,15,,"36.5",13
"Střední škola. Bohumín. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Moravskoslezský","Didaktický test",41,9,,"43.1","16.3"
"Střední škola. Bohumín. příspěvková organizace","Český jazyk a literatura","SOŠ pedagogické a humanitní","Moravskoslezský","Didaktický test",41,9,,"43.1","16.3"
"Střední škola. Bohumín. příspěvková organizace","Český jazyk a literatura","SOŠ technické 2","Moravskoslezský","Didaktický test",41,9,,"43.1","16.3"
"Střední škola hotelnictví a gastronomie SČMSD Praha. s.r.o.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Praha","Didaktický test",32,7,,"37.8","12.1"
"Střední škola hotelnictví a gastronomie SČMSD Praha. s.r.o.","Český jazyk a literatura","SOU ostatní","Praha","Didaktický test",32,7,,"37.8","12.1"
"Střední odborné učiliště tradičních řemesel a Vyšší odborná škola. spol. s r.o.","Český jazyk a literatura","SOU ostatní (nástavby)","Jihomoravský","Didaktický test",42,9,,"35.3","13.4"
"Střední odborné učiliště tradičních řemesel a Vyšší odborná škola. spol. s r.o.","Český jazyk a literatura","SOŠ umělecké","Jihomoravský","Didaktický test",42,9,,"35.3","13.4"
"Střední odborné učiliště tradičních řemesel a Vyšší odborná škola. spol. s r.o.","Český jazyk a literatura","SOU ostatní","Jihomoravský","Didaktický test",42,9,,"35.3","13.4"
"Střední škola technická. Opava. Kolofíkovo nábřeží 51. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Moravskoslezský","Didaktický test",33,7,,"33.3","11.8"
"Střední škola technická. Opava. Kolofíkovo nábřeží 51. příspěvková organizace","Český jazyk a literatura","SOU technické","Moravskoslezský","Didaktický test",33,7,,"33.3","11.8"
"Střední zdravotnická škola. Šumperk. Kladská 2","Český jazyk a literatura","SOŠ zdravotnické","Olomoucký","Didaktický test",53,11,,"37.3","12.9"
"Střední průmyslová škola a Střední odborné učiliště Pelhřimov","Český jazyk a literatura","SOU ostatní (nástavby)","Vysočina","Didaktický test",54,11,,"38.7","12.6"
"Střední průmyslová škola a Střední odborné učiliště Pelhřimov","Český jazyk a literatura","SOŠ technické 1","Vysočina","Didaktický test",54,11,,"38.7","12.6"
"Střední průmyslová škola a Střední odborné učiliště Pelhřimov","Český jazyk a literatura","SOU technické","Vysočina","Didaktický test",54,11,,"38.7","12.6"
"Střední odborná škola. Bruntál. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Moravskoslezský","Didaktický test",10,2,,"34.3",11
"Bezpečnostně právní akademie Ostrava. s. r. o.. střední škola","Český jazyk a literatura","SOŠ pedagogické a humanitní","Moravskoslezský","Didaktický test",30,6,,"34.5","10.9"
"Smíchovská střední průmyslová škola. Praha 5. Preslova 25","Matematika","Lyceum","Praha","Didaktický test",36,7,"32.6",44,"20.4"
"Smíchovská střední průmyslová škola. Praha 5. Preslova 25","Matematika","SOŠ technické 1","Praha","Didaktický test",36,7,"32.6",44,"20.4"
"Střední škola gastronomie a služeb. Liberec. Dvorská 447/29. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Liberecký","Didaktický test",57,11,,"33.8",12
"Střední škola gastronomie a služeb. Liberec. Dvorská 447/29. příspěvková organizace","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Liberecký","Didaktický test",57,11,,"33.8",12
"Střední škola gastronomie a služeb. Liberec. Dvorská 447/29. příspěvková organizace","Český jazyk a literatura","SOU ostatní","Liberecký","Didaktický test",57,11,,"33.8",12
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Český jazyk a literatura","SOU technické (nástavby)","Moravskoslezský","Didaktický test",68,13,,"35.7","12.5"
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Moravskoslezský","Didaktický test",68,13,,"35.7","12.5"
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Český jazyk a literatura","SOŠ technické 2","Moravskoslezský","Didaktický test",68,13,,"35.7","12.5"
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Český jazyk a literatura","SOU technické","Moravskoslezský","Didaktický test",68,13,,"35.7","12.5"
"Střední odborná škola a Střední odborné učiliště. Městec Králové. T. G. Masaryka 4","Český jazyk a literatura","SOU ostatní (nástavby)","Středočeský","Didaktický test",16,3,,"36.2","13.3"
"Střední průmyslová škola strojní a stavební. Tábor. Komenského 1670","Matematika","Lyceum","Jihočeský","Didaktický test",75,14,"66.9",46,"18.2"
"Střední průmyslová škola strojní a stavební. Tábor. Komenského 1670","Matematika","SOU technické (nástavby)","Jihočeský","Didaktický test",75,14,"66.9",46,"18.2"
"Střední průmyslová škola strojní a stavební. Tábor. Komenského 1670","Matematika","SOŠ technické 1","Jihočeský","Didaktický test",75,14,"66.9",46,"18.2"
"Střední odborná škola a Střední odborné učiliště. Mladá Boleslav. Jičínská 762","Český jazyk a literatura","SOU ostatní (nástavby)","Středočeský","Didaktický test",43,8,,"34.5","11.5"
"Střední odborná škola a Střední odborné učiliště. Mladá Boleslav. Jičínská 762","Český jazyk a literatura","SOŠ pedagogické a humanitní","Středočeský","Didaktický test",43,8,,"34.5","11.5"
"Střední odborná škola a Střední odborné učiliště. Mladá Boleslav. Jičínská 762","Český jazyk a literatura","SOŠ zemědělské","Středočeský","Didaktický test",43,8,,"34.5","11.5"
"Střední odborná škola a Střední odborné učiliště. Sušice. U Kapličky 761","Český jazyk a literatura","SOU ostatní (nástavby)","Plzeňský","Didaktický test",27,5,,"38.9","12.6"
"Střední odborná škola a Střední odborné učiliště. Sušice. U Kapličky 761","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Plzeňský","Didaktický test",27,5,,"38.9","12.6"
"Střední odborná škola a Střední odborné učiliště. Sušice. U Kapličky 761","Český jazyk a literatura","SOŠ technické 1","Plzeňský","Didaktický test",27,5,,"38.9","12.6"
"Integrovaná střední škola. Nová Paka. Kumburská 846","Český jazyk a literatura","SOU technické (nástavby)","Královéhradecký","Didaktický test",11,2,,"43.2","10.9"
"Moravskoslezská obchodní akademie. s.  r.  o.","Český jazyk a literatura","SOŠ ekonomické","Moravskoslezský","Didaktický test",11,2,,"38.2","12.3"
